Cities,Latitude,Longitude,Temperature,Humidity (%),Cloudiness,Wind Speed
vostok,46.45,135.83,34.07,57.0,8.0,5.68
salinopolis,-0.61,-47.36,78.62,100.0,92.0,7.47
luena,-11.78,19.91,63.73,89.0,20.0,2.55
tuatapere,-46.13,167.69,60.31,97.0,92.0,3.22
ostrovnoy,68.05,39.51,26.65,93.0,76.0,12.17
marsa matruh,31.35,27.25,51.8,93.0,0.0,2.66
namibe,-15.19,12.15,77.45,100.0,8.0,2.66
aanekoski,62.6,25.73,32.0,90.0,88.0,10.29
tarko-sale,64.92,77.78,-9.01,78.0,44.0,11.99
zima,53.93,102.05,23.18,75.0,64.0,9.82
talcahuano,-36.72,-73.12,60.8,87.0,20.0,16.11
yellowknife,62.45,-114.38,33.8,55.0,40.0,12.28
hays,38.88,-99.33,55.94,58.0,1.0,5.82
ilulissat,69.22,-51.1,1.4,54.0,32.0,10.29
nelson bay,-32.72,152.14,71.85,78.0,75.0,11.41
isangel,-19.55,169.27,86.0,66.0,40.0,5.82
kapaa,22.08,-159.32,74.26,49.0,90.0,21.92
muhororo,-2.51,29.77,59.86,86.0,8.0,3.22
quatre cocos,-20.21,57.76,77.0,88.0,40.0,7.47
opuwo,-18.06,13.84,70.61,44.0,32.0,5.46
bambous virieux,-20.34,57.76,77.0,88.0,40.0,7.47
thompson,55.74,-97.86,35.6,51.0,20.0,10.29
taltal,-25.41,-70.49,62.6,83.0,0.0,2.21
katsuura,33.93,134.5,41.83,80.0,40.0,9.17
takoradi,4.89,-1.75,82.31,100.0,36.0,5.46
mayor pablo lagerenza,-19.93,-60.77,77.36,88.0,24.0,2.44
katete,-0.78,29.75,58.69,81.0,12.0,3.11
almaznyy,48.03,40.04,42.8,87.0,40.0,8.95
tasiilaq,65.61,-37.64,17.6,85.0,92.0,2.24
port alfred,-33.59,26.89,68.54,95.0,88.0,3.0
ust-nera,64.57,143.24,-17.32,66.0,20.0,2.66
victoria,5.28,115.24,76.05,94.0,75.0,6.69
allapalli,19.43,80.06,67.73,96.0,24.0,3.22
baghdad,33.3,44.38,55.4,58.0,0.0,12.75
siilinjarvi,63.08,27.67,32.0,91.0,90.0,13.87
port lincoln,-34.72,135.86,67.46,89.0,0.0,10.6
conde,-11.81,-37.61,80.74,88.0,8.0,8.48
norman wells,65.28,-126.83,50.0,37.0,40.0,5.82
lebu,8.96,38.73,60.8,55.0,20.0,4.7
beringovskiy,63.05,179.32,-1.08,100.0,0.0,6.69
krechevitsy,58.62,31.4,36.73,91.0,92.0,11.05
mufulira,-12.55,28.24,63.23,87.0,12.0,2.66
carnarvon,-30.97,22.13,56.12,21.0,0.0,3.78
merke,42.87,73.19,21.88,80.0,8.0,2.21
arman,59.7,150.17,1.63,56.0,32.0,7.47
hithadhoo,-0.6,73.08,83.12,100.0,0.0,4.79
nemuro,43.32,145.57,32.0,99.0,20.0,6.93
takayama,36.14,137.25,40.12,59.0,20.0,4.7
saint-augustin,44.83,-0.61,44.13,93.0,0.0,4.7
upernavik,72.79,-56.15,-11.47,100.0,24.0,8.25
waddan,29.16,16.14,47.66,66.0,0.0,2.44
kattivakkam,13.22,80.32,77.0,83.0,20.0,3.36
prince george,53.92,-122.75,53.22,37.0,1.0,3.36
guymon,36.68,-101.48,65.28,24.0,1.0,3.36
new ulm,44.31,-94.46,35.49,80.0,1.0,10.29
rafai,4.95,23.92,69.26,55.0,12.0,6.24
artesia,32.84,-104.4,60.89,25.0,1.0,10.29
saldanha,41.42,-6.55,43.52,47.0,0.0,12.62
nushki,29.55,66.02,52.66,70.0,80.0,5.79
broome,52.47,1.45,39.06,86.0,44.0,8.05
sillamae,59.4,27.75,38.8,89.0,92.0,16.08
darnah,32.77,22.64,59.5,100.0,0.0,5.79
qaanaaq,77.48,-69.36,-29.97,94.0,0.0,9.04
hovd,63.83,10.7,32.0,84.0,75.0,8.05
iqaluit,63.75,-68.52,-16.32,68.0,20.0,28.86
castro,-42.48,-73.76,55.4,71.0,75.0,6.93
san patricio,-26.98,-56.83,69.94,98.0,100.0,3.44
hokitika,-42.72,170.96,64.67,98.0,36.0,5.35
bethanien,-26.5,17.16,60.26,58.0,0.0,2.89
sanming,26.24,117.6,55.18,98.0,88.0,2.66
puro,13.13,123.76,79.25,80.0,56.0,9.04
saint-louis,47.59,7.56,36.75,95.0,0.0,2.24
wattegama,7.35,80.68,68.41,93.0,24.0,3.0
mount pleasant,33.16,-94.97,64.89,38.0,1.0,3.36
saint george,39.45,22.34,49.35,87.0,0.0,2.77
salalah,17.01,54.1,78.8,74.0,40.0,6.93
huilong,28.89,110.18,46.18,91.0,88.0,2.33
mahebourg,-20.41,57.7,77.0,88.0,40.0,7.47
paoua,7.24,16.43,68.63,56.0,0.0,1.88
sitka,37.17,-99.65,64.0,29.0,0.0,1.99
alofi,-19.06,-169.92,84.2,74.0,80.0,10.29
coahuayana,18.62,-100.35,84.83,27.0,12.0,2.89
okakarara,-20.59,17.46,76.6,47.0,100.0,3.78
henties bay,-22.12,14.28,61.0,94.0,0.0,5.01
eureka,40.8,-124.16,55.9,100.0,1.0,10.29
ararangua,-28.93,-49.49,75.92,89.0,80.0,18.77
mangan,27.5,88.54,25.16,82.0,92.0,1.21
nanortalik,60.14,-45.24,30.25,96.0,92.0,19.55
mandali,33.75,45.55,48.79,94.0,56.0,2.44
weyburn,49.67,-103.85,37.0,74.0,0.0,5.99
muros,42.77,-9.06,43.81,80.0,0.0,8.05
sorland,67.67,12.69,35.11,100.0,20.0,24.14
los llanos de aridane,28.66,-17.92,60.01,59.0,40.0,9.17
fortuna,38.18,-1.13,59.4,45.0,0.0,6.93
huarmey,-10.07,-78.15,73.22,67.0,20.0,3.22
mattru,7.62,-11.83,82.31,66.0,20.0,6.69
panaba,21.28,-88.27,83.3,49.0,68.0,8.59
cape town,-33.93,18.42,66.34,93.0,40.0,18.34
kuloy,61.03,42.49,28.4,91.0,44.0,10.49
wiwili,13.63,-85.83,73.27,57.0,40.0,13.87
lakatoro,-16.11,167.42,84.56,84.0,76.0,8.81
bethel,60.79,-161.76,26.6,73.0,1.0,8.05
hirara,24.8,125.28,71.6,68.0,75.0,9.17
kendari,-3.99,122.52,79.16,89.0,36.0,3.56
kamenka,53.19,44.05,31.51,96.0,80.0,5.57
barcelos,41.53,-8.62,47.91,70.0,0.0,12.75
caravelas,-17.73,-39.27,83.48,100.0,0.0,14.74
cap malheureux,-19.98,57.61,77.0,88.0,40.0,9.71
puerto colombia,10.99,-74.96,78.44,83.0,0.0,18.34
tona,7.2,-72.97,71.6,88.0,75.0,3.36
sheffield,53.38,-1.47,40.39,81.0,20.0,9.17
marataizes,-21.04,-40.82,81.28,96.0,68.0,5.46
souillac,45.6,-0.6,40.33,93.0,0.0,4.7
vero beach,27.64,-80.4,64.99,88.0,90.0,9.17
mandalgovi,45.76,106.27,28.85,68.0,0.0,10.27
santa rosa,-36.62,-64.29,68.41,73.0,0.0,7.7
mar del plata,-46.43,-67.52,62.96,42.0,0.0,26.15
jedrzejow,50.64,20.3,46.56,70.0,100.0,8.01
abu samrah,35.3,37.18,48.02,79.0,76.0,2.44
yabrud,33.97,36.66,50.0,57.0,0.0,11.41
tiarei,-17.53,-149.33,87.35,70.0,40.0,4.7
pisco,-13.71,-76.2,71.6,30.0,0.0,24.16
general roca,-39.03,-67.58,78.8,27.0,0.0,13.87
egvekinot,66.32,-179.17,-0.31,71.0,64.0,3.11
new norfolk,-42.78,147.06,64.89,72.0,75.0,5.82
filadelfia,-22.35,-60.04,72.5,96.0,24.0,3.67
nuevitas,21.55,-77.27,80.6,65.0,75.0,12.75
el molino,10.65,-72.92,91.4,46.0,40.0,14.99
rawson,-43.3,-65.11,63.86,53.0,8.0,13.96
krasnoarmeysk,56.12,38.15,34.43,92.0,90.0,6.71
diffa,13.32,12.61,74.71,17.0,12.0,11.05
yenagoa,4.92,6.26,77.81,91.0,20.0,4.9
puri,-7.54,112.45,75.2,100.0,20.0,3.0
east london,-33.02,27.91,75.43,99.0,92.0,1.21
luebo,-5.35,21.42,73.4,93.0,20.0,2.21
tongchuan,34.9,108.95,44.6,81.0,0.0,6.71
nalut,31.86,10.98,48.38,53.0,0.0,2.89
richards bay,-28.77,32.06,73.54,79.0,8.0,7.47
socorro,13.06,121.41,80.01,79.0,88.0,5.99
luanda,-8.83,13.24,80.6,88.0,40.0,5.82
mbalmayo,3.52,11.5,71.6,94.0,40.0,2.24
nikolskoye,59.7,30.79,35.65,91.0,90.0,11.18
vredendal,-31.68,18.49,56.93,88.0,88.0,2.77
zhezkazgan,47.8,67.71,31.33,91.0,88.0,15.19
klaksvik,62.23,-6.59,30.2,74.0,12.0,2.24
codrington,-28.95,153.24,77.5,78.0,0.0,1.12
port shepstone,-30.74,30.45,73.76,89.0,8.0,4.12
necochea,-38.55,-58.74,68.0,93.0,8.0,1.01
vagay,57.94,69.02,8.56,66.0,48.0,2.77
kaitangata,-46.28,169.85,65.53,72.0,64.0,3.78
tilichiki,60.47,166.1,-0.31,74.0,0.0,4.12
imeni poliny osipenko,52.42,136.49,16.52,84.0,56.0,8.93
provideniya,64.42,-173.23,10.4,78.0,90.0,15.66
mount darwin,-16.77,31.58,64.0,93.0,56.0,2.66
coquimbo,-29.95,-71.34,60.8,77.0,0.0,2.24
hualmay,-11.1,-77.61,73.81,74.0,0.0,4.79
nishihara,35.74,139.53,47.25,36.0,0.0,9.17
altamira,-3.2,-52.21,80.6,79.0,68.0,4.68
nhulunbuy,-12.18,136.78,86.0,74.0,40.0,8.05
derzhavinsk,51.1,66.31,17.51,81.0,0.0,15.41
taoudenni,22.68,-3.98,61.25,16.0,0.0,8.81
aklavik,68.22,-135.01,44.6,45.0,20.0,7.47
tynda,55.15,124.74,21.11,57.0,20.0,11.05
requena,39.49,-1.1,54.05,67.0,75.0,8.05
cascais,38.7,-9.42,52.7,81.0,75.0,8.05
tevaitoa,-16.78,-151.5,84.2,99.0,48.0,7.02
chaozhou,23.66,116.62,60.8,100.0,20.0,2.77
el jicaro,14.91,-89.89,78.35,31.0,0.0,1.54
zhengjiatun,43.51,123.51,48.79,38.0,0.0,11.27
mari-turek,56.79,49.62,25.39,90.0,76.0,5.35
ilheus,-14.79,-39.05,82.4,74.0,0.0,5.82
calatayud,41.35,-1.64,48.18,72.0,20.0,8.05
tiznit,29.7,-9.73,57.61,91.0,0.0,3.89
alice springs,-23.7,133.88,84.2,11.0,0.0,8.05
beidao,34.57,105.89,30.83,85.0,24.0,2.44
omboue,-1.57,9.26,80.06,100.0,76.0,6.24
vao,59.1,26.19,38.44,96.0,92.0,12.73
porto novo,-23.68,-45.44,71.6,100.0,75.0,2.24
oblivskaya,48.54,42.5,29.66,84.0,24.0,2.66
menongue,-14.66,17.68,66.61,82.0,24.0,3.44
barceloneta,18.45,-66.54,75.9,69.0,20.0,8.05
kloulklubed,7.04,134.26,77.0,94.0,90.0,10.29
berlevag,70.86,29.09,26.6,53.0,75.0,5.82
aksu,52.04,76.93,10.4,92.0,0.0,4.47
vardo,39.62,-77.74,41.97,20.0,1.0,4.34
port hedland,-20.31,118.58,82.4,69.0,0.0,10.29
kiama,-34.67,150.86,67.01,93.0,75.0,13.87
paka,45.29,18.06,48.2,76.0,0.0,4.7
dikson,73.51,80.55,26.96,94.0,88.0,17.31
russell,-33.01,-68.8,73.4,46.0,0.0,4.7
mount isa,-20.73,139.49,86.0,19.0,0.0,8.05
berdigestyakh,62.1,126.7,-6.88,72.0,8.0,5.35
inongo,-1.93,18.29,74.35,94.0,8.0,4.0
saquarema,-22.93,-42.51,79.93,87.0,75.0,3.36
grand forks,47.91,-97.06,32.94,86.0,1.0,5.82
santa cruz do sul,-29.71,-52.43,71.53,99.0,88.0,6.46
yarada,17.65,83.27,75.2,88.0,0.0,2.77
bowen,-20.01,148.25,83.03,83.0,40.0,8.05
surt,31.21,16.59,54.32,99.0,0.0,6.02
lipari,38.47,14.95,53.65,71.0,5.0,2.24
garowe,8.41,48.48,64.81,92.0,8.0,6.35
cidreira,-30.17,-50.22,73.81,89.0,92.0,13.4
okhotsk,59.36,143.24,10.81,84.0,0.0,6.02
mayya,61.74,130.28,-16.61,75.0,0.0,4.47
hofn,64.25,-15.21,32.0,100.0,0.0,4.7
darhan,49.49,105.92,38.26,44.0,92.0,8.48
agadir,30.42,-9.58,57.2,87.0,0.0,5.82
saint-michel-des-saints,46.68,-73.92,16.21,59.0,48.0,7.92
lata,30.78,78.62,37.76,77.0,44.0,2.89
igdir,37.52,45.24,35.6,93.0,90.0,6.93
najran,17.54,44.22,73.4,38.0,5.0,2.24
margate,-43.03,147.26,65.35,68.0,75.0,4.7
tromso,69.65,18.96,23.77,45.0,0.0,23.04
kupang,-10.16,123.6,80.6,88.0,75.0,5.82
lola,7.8,-8.53,73.54,83.0,0.0,3.78
marquette,46.54,-87.4,29.35,54.0,40.0,10.29
fazalpur,32.18,75.07,57.22,93.0,0.0,2.77
copiapo,-27.37,-70.33,60.8,82.0,90.0,10.29
moranbah,-22.0,148.04,81.5,78.0,0.0,6.13
anadyr,64.73,177.51,-7.28,69.0,75.0,8.95
weinan,34.5,109.46,44.6,81.0,0.0,6.71
okato,-39.19,173.88,77.65,60.0,76.0,1.99
constantine,36.36,6.61,50.0,57.0,0.0,4.7
walvis bay,-22.95,14.51,60.89,87.0,0.0,6.93
mamallapuram,12.63,80.17,77.0,78.0,20.0,3.36
nabire,-3.36,135.5,77.14,79.0,20.0,0.2
bodden town,19.28,-81.25,79.84,65.0,20.0,4.7
hambantota,6.12,81.12,78.98,100.0,32.0,10.49
price,39.6,-110.81,47.59,27.0,1.0,3.36
lasa,34.92,32.53,53.91,93.0,75.0,9.17
bilibino,68.06,166.44,-18.27,49.0,44.0,3.22
constitucion,23.99,-104.67,66.78,22.0,90.0,12.75
kortkeros,61.81,51.56,30.09,80.0,90.0,4.47
stykkisholmur,65.08,-22.73,34.93,99.0,92.0,11.83
joroan,13.49,123.62,79.25,80.0,56.0,9.04
itarema,-2.92,-39.92,78.58,90.0,8.0,5.12
general pico,-35.66,-63.75,65.57,79.0,0.0,4.23
dillon,45.22,-112.64,38.57,69.0,1.0,3.36
sokoni,-12.89,28.78,64.4,85.0,8.0,2.21
sistranda,63.73,8.83,32.02,100.0,75.0,8.05
bantogon,6.53,124.03,76.24,68.0,76.0,2.77
phan thiet,10.93,108.1,78.4,93.0,0.0,14.74
jalu,29.03,21.55,54.46,66.0,0.0,2.89
tekkali,18.62,84.23,65.03,96.0,8.0,3.78
san cristobal,-0.39,-78.55,56.97,72.0,75.0,10.29
acapulco,16.86,-99.88,82.4,78.0,75.0,11.41
biak,-0.91,122.88,83.03,81.0,0.0,2.77
barrow,-38.31,-60.23,68.18,71.0,8.0,7.14
ploemeur,47.73,-3.43,43.41,80.0,20.0,6.93
ronne,48.45,0.83,37.4,93.0,0.0,8.05
fort dix,40.03,-74.62,40.08,28.0,1.0,10.29
dublin,53.35,-6.26,40.08,86.0,75.0,16.11
witbank,-25.87,29.23,51.98,91.0,8.0,2.77
shaunavon,49.65,-108.41,36.46,86.0,68.0,5.57
las choapas,17.91,-94.09,71.6,73.0,90.0,23.04
neyshabur,36.21,58.79,44.11,97.0,92.0,4.45
sur,22.57,59.53,70.7,99.0,0.0,11.5
naze,5.43,7.07,75.88,92.0,32.0,2.66
ningxiang,28.28,112.55,51.8,100.0,90.0,4.47
willowmore,-33.3,23.49,59.59,90.0,80.0,1.99
brokopondo,5.06,-54.98,78.8,69.0,20.0,9.17
gat,14.69,-16.54,71.6,60.0,8.0,9.17
itoman,26.12,127.67,68.0,60.0,90.0,9.17
rumuruti,0.26,36.54,47.93,86.0,12.0,1.43
kurayoshi,35.43,133.83,39.06,75.0,40.0,9.17
robertsport,6.75,-11.37,82.13,99.0,0.0,7.02
bull savanna,17.89,-77.59,74.93,75.0,80.0,3.22
west bay,50.71,-2.76,43.25,87.0,0.0,4.7
namatanai,-3.66,152.44,83.75,97.0,12.0,8.25
piney green,35.09,-78.48,49.64,38.0,1.0,3.56
gizo,31.8,34.94,48.65,87.0,20.0,1.12
vytegra,61.01,36.45,31.78,87.0,80.0,16.08
riyadh,24.63,46.72,57.2,30.0,0.0,5.82
lagoa,37.14,-8.45,56.48,72.0,0.0,4.7
la asuncion,-1.64,-78.74,49.46,87.0,44.0,0.98
mareeba,-16.99,145.42,80.35,88.0,75.0,10.29
port-gentil,-0.72,8.78,82.4,88.0,75.0,4.7
leshukonskoye,64.9,45.76,30.16,85.0,80.0,6.8
borzya,50.39,116.53,23.05,66.0,0.0,3.0
luis correia,-2.88,-41.67,80.38,86.0,100.0,6.46
chengzihe,45.35,131.0,40.28,49.0,88.0,9.15
saint-pierre,48.95,4.24,36.19,100.0,0.0,10.29
kurchum,48.57,83.65,9.05,68.0,0.0,10.04
hobyo,5.35,48.53,79.97,81.0,76.0,10.83
palmerston,43.83,-80.85,29.88,58.0,40.0,10.29
roma,41.89,12.48,52.0,76.0,0.0,3.36
cherskiy,68.75,161.3,-17.86,51.0,8.0,4.9
flinders,-34.58,150.85,66.6,93.0,75.0,13.87
sangar,63.92,127.47,-7.78,60.0,12.0,0.76
antofagasta,-23.65,-70.4,64.4,77.0,20.0,14.99
wanning,48.64,13.53,38.44,86.0,75.0,14.99
srednekolymsk,67.46,153.71,-16.83,49.0,20.0,3.44
te anau,-45.41,167.72,68.05,71.0,8.0,3.22
semirom,31.41,51.57,26.06,77.0,24.0,7.81
hay river,60.82,-115.79,48.2,39.0,20.0,13.87
gonzaga,18.26,121.99,72.68,100.0,76.0,3.44
antalaha,-14.9,50.28,74.75,89.0,0.0,4.9
olden,61.84,6.81,32.09,84.0,80.0,8.99
buchanan,5.88,-10.05,78.8,78.0,40.0,4.7
kalmunai,7.42,81.82,75.2,100.0,56.0,3.44
ambulu,-8.35,113.61,76.82,100.0,64.0,4.45
hasaki,35.73,140.83,46.51,52.0,20.0,8.05
harper,30.3,-99.24,62.15,23.0,1.0,3.36
port augusta,-32.49,137.76,77.38,78.0,0.0,10.29
omsukchan,62.53,155.8,-9.22,60.0,48.0,5.23
cockburn town,21.46,-71.14,76.55,100.0,44.0,13.29
surgut,61.25,73.4,3.2,91.0,0.0,7.36
kibala,9.11,18.35,86.0,16.0,0.0,5.68
clyde river,70.47,-68.59,-20.21,75.0,1.0,16.11
cochrane,-47.25,-72.57,39.56,76.0,36.0,5.46
petrovskoye,56.26,36.47,33.8,92.0,90.0,6.71
otavi,-19.64,17.34,73.76,46.0,88.0,3.22
cayenne,4.94,-52.33,77.0,78.0,0.0,8.03
raudeberg,61.99,5.14,36.68,64.0,88.0,16.11
karachi,24.87,67.03,66.2,37.0,32.0,4.7
ler,63.2,10.3,31.59,84.0,75.0,8.05
floro,61.6,5.03,37.72,64.0,88.0,16.11
port hardy,50.7,-127.42,55.4,58.0,20.0,4.7
kununurra,-15.77,128.74,84.2,66.0,0.0,1.12
mahajanga,-15.72,46.32,77.0,94.0,20.0,3.22
konevo,41.67,25.61,46.99,78.0,0.0,3.78
waipawa,-39.94,176.59,69.01,69.0,12.0,6.24
solano,16.52,121.18,68.81,93.0,8.0,1.99
shirokiy,53.87,39.17,33.01,98.0,80.0,5.01
airai,-8.93,125.41,71.42,90.0,76.0,1.21
uri,40.64,8.49,46.4,87.0,0.0,2.24
rancho palos verdes,33.75,-118.37,77.27,21.0,1.0,5.82
guantanamo,-16.14,-62.05,80.65,76.0,0.0,4.45
nome,30.04,-94.42,62.74,44.0,1.0,6.93
fethiye,36.62,29.12,51.55,93.0,0.0,6.93
tateyama,36.66,137.31,43.52,60.0,20.0,3.36
angouleme,45.65,0.15,38.98,86.0,0.0,2.24
weligama,5.97,80.42,76.15,100.0,20.0,5.68
shimonoseki,33.97,130.94,46.11,49.0,0.0,8.05
sabang,13.72,123.58,79.21,87.0,68.0,11.95
praia da vitoria,38.73,-27.07,58.5,93.0,0.0,6.02
half moon bay,37.46,-122.43,70.14,43.0,75.0,4.7
dakar,14.69,-17.45,71.6,60.0,8.0,9.17
winona,43.21,-79.65,31.57,84.0,75.0,12.75
seara,-27.15,-52.31,68.0,88.0,75.0,10.16
banda aceh,5.56,95.32,75.34,98.0,20.0,2.66
mugumu,-1.84,34.67,59.5,95.0,36.0,2.66
mudu,31.26,120.51,54.93,69.0,92.0,13.06
cadillac,44.25,-85.4,31.86,59.0,90.0,5.79
vung tau,10.35,107.08,81.77,94.0,0.0,21.45
lamu,0.57,122.3,74.93,95.0,0.0,3.0
mecca,21.43,39.83,51.17,82.0,0.0,3.78
pitangueiras,-21.01,-48.22,78.8,74.0,40.0,5.82
pitimbu,-7.47,-34.81,80.6,88.0,0.0,4.7
luang prabang,19.89,102.14,63.73,96.0,8.0,1.77
izmit,40.76,29.93,44.89,54.0,0.0,2.21
praia,-20.25,-43.81,73.4,83.0,0.0,2.77
faya,18.39,42.45,56.34,87.0,0.0,5.01
challans,46.85,-1.88,42.04,86.0,0.0,5.82
dibulla,11.27,-73.31,78.8,83.0,20.0,11.41
trenggalek,-8.05,111.71,69.08,98.0,92.0,2.66
sanmenxia,34.77,111.19,47.89,56.0,56.0,4.45
bonga,7.26,36.25,57.83,84.0,24.0,1.99
wellington,-41.29,174.78,68.22,77.0,0.0,8.05
chamalieres,45.78,3.06,39.78,78.0,75.0,13.87
ulsteinvik,62.35,5.85,33.75,97.0,92.0,14.99
longyearbyen,78.22,15.63,10.4,85.0,75.0,11.41
verkhoyansk,67.55,133.39,-21.91,61.0,24.0,2.66
olga,34.11,-118.17,78.24,21.0,1.0,5.82
vilcun,-38.65,-72.23,56.14,72.0,40.0,6.93
liverpool,53.41,-2.98,42.37,75.0,20.0,16.11
cao bang,22.67,106.25,58.01,99.0,92.0,3.56
inhambane,-23.87,35.38,74.08,100.0,24.0,5.23
rio gallegos,-51.62,-69.22,50.0,66.0,90.0,29.97
garmsar,35.22,52.34,36.41,93.0,92.0,5.01
saint-francois,46.42,3.91,39.92,70.0,75.0,5.82
guaira,-24.09,-54.26,72.05,94.0,24.0,4.0
anloga,5.79,0.9,82.4,83.0,20.0,2.24
ornskoldsvik,63.29,18.72,32.0,95.0,88.0,9.17
nioro,13.79,-15.05,77.72,34.0,0.0,10.83
calvia,39.57,2.51,55.99,67.0,0.0,19.46
